Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Accept),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,"&#39;Analysis Planning&#39; SLA in BRD","&#39;Analysis Planning&#39; SLA in BRD simplified","&#39;Approved POT&#39; SLA for UAT","&#39;Approved POT&#39; SLA for UAT simplified","&#39;BA Approval&#39; SLA for Test Plan","&#39;BA Approval&#39; SLA for Test Plan simplified","&#39;BRD Approved&#39; SLA in BRD","&#39;BRD Approved&#39; SLA in BRD simplified","&#39;BRD On Hold&#39; SLA in BRD","&#39;BRD On Hold&#39; SLA in BRD simplified","&#39;Backlog&#39; SLA for UAT","&#39;Backlog&#39; SLA for UAT simplified","&#39;Backlog&#39; SLA in BRD","&#39;Backlog&#39; SLA in BRD simplified","&#39;Business Approval&#39; SLA in BRD","&#39;Business Approval&#39; SLA in BRD simplified","&#39;Business Owner Input&#39; SLA in BRD","&#39;Business Owner Input&#39; SLA in BRD simplified","&#39;Business Review&#39; SLA in BRD","&#39;Business Review&#39; SLA in BRD simplified","&#39;Circular Sessions&#39; SLA in BRD","&#39;Circular Sessions&#39; SLA in BRD simplified","&#39;Collect Test Data&#39; SLA in QA","&#39;Collect Test Data&#39; SLA in QA simplified","&#39;Developing Test Cases&#39; SLA in QA","&#39;Developing Test Cases&#39; SLA in QA simplified","&#39;Internal Quality Check&#39; SLA in BRD","&#39;Internal Quality Check&#39; SLA in BRD simplified","&#39;New&#39; SLA for QA","&#39;New&#39; SLA for QA simplified","&#39;QA Team Lead Approval&#39; SLA in QA","&#39;QA Team Lead Approval&#39; SLA in QA simplified","&#39;Review POT&#39; SLA for UAT","&#39;Review POT&#39; SLA for UAT simplified","&#39;Review Proof Of Test&#39; SLA in UAT","&#39;Review Proof Of Test&#39; SLA in UAT simplified","&#39;Test Planning&#39; SLA in QA","&#39;Test Planning&#39; SLA in QA simplified","&#39;Test Planning&#39; SLA in UAT","&#39;Test Planning&#39; SLA in UAT simplified","&#39;Update BRD&#39; SLA in BRD","&#39;Update BRD&#39; SLA in BRD simplified","&#39;Update POT&#39; SLA for UAT","&#39;Update POT&#39; SLA for UAT simplified",Custom field (AO TL),Custom field (Actor),Custom field (Actual Go live date),Custom field (Additional Information),Custom field (Agency),Analysis SLA,Analysis SLA simplified,Custom field (Analysis Scheduled End Date),Custom field (Analysis Scheduled Start Date),Custom field (Analysis actual end date),Custom field (Analysis end date),Custom field (Analysis start date),Custom field (Application name),Custom field (Approval condition),Custom field (Approved Counts),Custom field (Associated Business Rules),Custom field (Associated Personas),Custom field (Assumptions & Risks),BA Review,BA Review simplified,BO Review,BO Review simplified,Custom field (BRD Actual Start Date),BRD Business Approval,BRD Business Approval simplified,Custom field (BRD End Date),Custom field (BRD Start Date),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Business Analyst),Custom field (Business Objects),Custom field (Business Operations Custom Approved),Custom field (Business Operations Zakat Approved),Custom field (Business Owner),Business Review,Business Review simplified,Custom field (Business Unit),Custom field (CAB comment),Custom field (CR),Custom field (CR Stage),CSCM SLA,CSCM SLA simplified,Custom field (CX Approved),Custom field (Cancellation reason),Custom field (Category),Custom field (Change Impact),Custom field (Change Manager),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),"Collect Test Data&#39; SLA in UAT","Collect Test Data&#39; SLA in UAT simplified",Custom field (Community),"Complex &#39;BO Approval&#39; SLA in Test plan","Complex &#39;BO Approval&#39; SLA in Test plan simplified","Complex &#39;WIP&#39; SLA for Test Plan","Complex &#39;WIP&#39; SLA for Test Plan simplified","Complex &#39;WIP&#39; SLA for UAT","Complex &#39;WIP&#39; SLA for UAT simplified",Custom field (Complexity),Custom field (Components),Custom field (Consumer),Custom field (Containers),Custom field (Contingency plan),Custom field (Created date),Custom field (Current Assignee),Custom field (Current Situation or Problem Observed),Custom field (Current stage delay days),Custom field (Custom Security Approved),Customer Request Type,Custom field (Data Catalogue),Custom field (Data Profiling),Custom field (Data Rules),Custom field (Data Type),Custom field (Default / Pre-populated value),Custom field (Default / Pre-populated value (Arabic)),Custom field (Department),Custom field (Deployment Coordinator),Custom field (Dev End Date),Custom field (Dev Start Date),Develop BRD,Develop BRD simplified,Custom field (Development Scheduled End Date),Custom field (Development Scheduled Start Date),Custom field (Domain),Custom field (Downtime),EA Assessment,EA Assessment simplified,Effort Estimation,Effort Estimation simplified,Custom field (End date),Custom field (Epic Link),Custom field (Escalated),Custom field (Escalated by),Custom field (Escalation Impact),Custom field (Escalation Responsible),Custom field (Example Columns),Custom field (Example Rows),Custom field (Exception),Custom field (Feature Branch Link),Custom field (Features),Custom field (Field Group),Custom field (Field Group (Arabic)),Custom field (Field ID),Custom field (Field Name),Custom field (Field Name (Arabic)),Custom field (Field Type),Custom field (Field Validation Rules),Custom field (Filtered Common Scope Link),Custom field (Filtered Customs Scope Link),Custom field (Filtered TAX Scope Link),Custom field (Flag),Custom field (Frequency),Custom field (Go Live delayed days),Custom field (Hypercare support end date),Custom field (IR Approved date),Custom field (IT Approved),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 1),Custom field (Idea approval level 2),Custom field (Idea approval level 2),Custom field (Idea approval level 2),Custom field (Idea approval level 2),Custom field (Idea approval level 2),Custom field (Impact),Custom field (Impacted Applications),Custom field (Impacted Departments),Custom field (Infrastructure Component),Custom field (Integration Products),Custom field (Integration Services),Custom field (Investigation reason),Custom field (Is it regression bugs),Custom field (Is the performance Test needed after UAT?),Custom field (L1 Delivery and Demand Director),Custom field (L2 Business Solutions General Manager),Custom field (L3 Vice Governor),Custom field (Labels / Tags),Custom field (Legal Approved),Custom field (Linked major incidents),"Low &#39;Backlog&#39; SLA in UAT","Low &#39;Backlog&#39; SLA in UAT simplified","Low &#39;WIP&#39; SLA to Test plan","Low &#39;WIP&#39; SLA to Test plan simplified",Custom field (Make sure the BRD attachment uploaded),Custom field (Mandatory / Optional / Conditional Field),Custom field (Maximum Length),"Medium &#39;BO Approval&#39; SLA in QA","Medium &#39;BO Approval&#39; SLA in QA simplified","Medium &#39;Backlog&#39; SLA in UAT","Medium &#39;Backlog&#39; SLA in UAT simplified","Medium &#39;Develop Test Cases&#39; SLA for QA","Medium &#39;Develop Test Cases&#39; SLA for QA simplified","Medium &#39;WIP&#39; SLA in QA","Medium &#39;WIP&#39; SLA in QA simplified",Custom field (Minimum Length),Custom field (Objective),Custom field (On Hold date),Custom field (On hold reason),Custom field (Operational categorization),Custom field (Original story points),Custom field (Other Actors),Custom field (Other reason),Custom field (Parent),Custom field (Parent Link),Custom field (Pending reason),Custom field (Plan Go live Delayed Days),Custom field (Planned Go Live Date),Custom field (Planned Go Live Scheduled Date),Custom field (Planned UAT end date),Custom field (Planned UAT start date),Custom field (Priority Justification),Custom field (Process Category),Custom field (Process Link),Custom field (Processes),Custom field (Product categorization),Custom field (Program Increment),Custom field (Project Related),Custom field (Project manager),Custom field (Provider),Custom field (QA Actual Start Date),QA Defect Fixing,QA Defect Fixing simplified,Custom field (QA End Date),QA SLA,QA SLA simplified,Custom field (QA SPOC),Custom field (QA Scheduled End Date),Custom field (QA Scheduled Start Date),Custom field (QA Start Date),Custom field (QA entry Criteria),Custom field (QA exit criteria),Quality Assurance,Quality Assurance simplified,Custom field (RE Developer),Custom field (Rank),Custom field (Reason),Custom field (Reference Number),Custom field (Rejection reason),Custom field (Release Date & Time),Custom field (Release impact),Custom field (Report),Custom field (Report Objective / Outcome),Custom field (Report Title),Custom field (Request participants),Custom field (Revised UAT planned end date),Custom field (Risk Approved),Custom field (Risk consequence),Custom field (Risk probability),Custom field (Root cause),Custom field (SA),Custom field (SDD Actual End Date),Custom field (SDD end date),Custom field (SDD start date),SLA1,SLA1 simplified,Custom field (Sample / Indicative Error Message),Custom field (Sample / Indicative Tooltip),Satisfaction score (out of 5),Custom field (Section),Custom field (Section manager),Custom field (Security Controls),Custom field (Segment),Custom field (Sequence Number),Custom field (Serial Number),Custom field (Severity),Custom field (Software System),Custom field (Solution Architect),Custom field (Source),Custom field (Start date),Custom field (Strategy Approved),Custom field (Summary...),Custom field (Support Summary),Custom field (Suspension & resumption criteria),Custom field (TFS Effort estimation end date),Custom field (TFS Effort estimation start date),Custom field (TFS ID),TTM,TTM simplified,Custom field (Target End Date),Custom field (Target Start Date),Custom field (Target end),Custom field (Target start),Custom field (Targeted End Date),Custom field (Targeted Start Date),Custom field (Task mode),Custom field (Task progress),Custom field (Team),Custom field (Technical Capability),Custom field (Temp Analysis end date),Custom field (Temp Analysis start date),Custom field (Temp Dev End Date),Custom field (Temp Dev Start Date),Time to approve normal change,Time to approve normal change simplified,Time to close after resolution,Time to close after resolution simplified,Time to first response,Time to first response simplified,Time to resolution,Time to resolution simplified,Custom field (Title),Custom field (Treatment plan),Custom field (Type),UAT,UAT simplified,Custom field (UAT),Custom field (UAT Actual Start Date),UAT Defect Fixing,UAT Defect Fixing simplified,Custom field (UAT End Date),UAT SLA,UAT SLA simplified,UAT Scenario creation,UAT Scenario creation simplified,UAT Scenarios Approval,UAT Scenarios Approval simplified,UAT Scenarios Review,UAT Scenarios Review simplified,Custom field (UAT Scheduled End Date),Custom field (UAT Scheduled Start Date),Custom field (UAT Start Date),UAT Tests Review,UAT Tests Review simplified,Under Development,Under Development simplified,Custom field (Unit of Measurement (Column)),Custom field (Urgency),Custom field (User Stories),Custom field (User Story Link),UserStory Dev Review,UserStory Dev Review simplified,Custom field (Value Chain),Waiting for GRC Assesment,Waiting for GRC Assesment simplified,Waiting for Requester,Waiting for Requester simplified,Custom field (Walkthrough date),Custom field (Which date do you need to reschedule?),Custom field (Workaround),hypercare support,hypercare support simplified,Custom field (start date),Custom field (اجراء العمل الحالي),Custom field (الحل المقترح),Custom field (المخاطر),Comment,Comment,Comment
Status Matrix,TDD-12540,433153,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,22/Sep/25 5:02 PM,22/Sep/25 5:07 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-11522,TDD-11533,TDD-11532,TDD-11537,TDD-11539,TDD-11664,TDD-11667,TDD-11670,TDD-11679,TDD-11677,TDD-11675,TDD-11674,TDD-11723,TDD-11756,TDD-11689,TDD-11722,TDD-11721,TDD-11699,TDD-11687,TDD-11697,TDD-11695,TDD-11761,TDD-11694,TDD-11682,TDD-11693,TDD-11718,TDD-11758,TDD-11702,"22/Sep/25 5:02 PM;moalami-c;Status_Matrix.xlsx;https://jira.zatca.gov.sa/secure/attachment/478974/Status_Matrix.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1y0jb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD - Transshipment -Transshipment Entry,TDD-11944,426012,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,07/Sep/25 3:18 PM,20/Sep/25 7:40 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-11696,TDD-11697,,,,,,,,,,,,,,,,,,,,,,,,,,,"20/Sep/25 7:40 PM;moalami-c;DD - Transshipment -Transshipment Entry.xlsx;https://jira.zatca.gov.sa/secure/attachment/478232/DD+-+Transshipment+-Transshipment+Entry.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1wsev:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD - Transfer -Transfer of ownership,TDD-11945,426013,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,07/Sep/25 3:19 PM,20/Sep/25 7:39 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-11705,TDD-11706,TDD-11707,TDD-11708,TDD-11709,TDD-11710,TDD-11711,TDD-11712,,,,,,,,,,,,,,,,,,,,,"20/Sep/25 7:39 PM;moalami-c;DD - Transfer-Transfer of Ownership.xlsx;https://jira.zatca.gov.sa/secure/attachment/478231/DD+-+Transfer-Transfer+of+Ownership.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1wsf3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD - Stock Counting,TDD-11943,426011,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,07/Sep/25 3:18 PM,14/Sep/25 4:57 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,TDD-11727,TDD-11726,TDD-11728,TDD-11729,TDD-11730,TDD-11731,,,,,,,,,,,,,,,,,,,,,,,,"14/Sep/25 4:56 PM;moalami-c;DD- Stock -Stock Counting BE.xlsx;https://jira.zatca.gov.sa/secure/attachment/476025/DD-+Stock+-Stock+Counting+BE.xlsx","14/Sep/25 4:56 PM;moalami-c;DD- Stock -Stock Counting FE.xlsx;https://jira.zatca.gov.sa/secure/attachment/476026/DD-+Stock+-Stock+Counting+FE.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1wsen:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD- Material -Goods Classification  ,TDD-11942,426010,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,07/Sep/25 3:18 PM,14/Sep/25 4:36 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-11748,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Sep/25 4:35 PM;moalami-c;DD- Material -Goods Calssification  .xlsx;https://jira.zatca.gov.sa/secure/attachment/476021/DD-+Material+-Goods+Calssification++.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1wsef:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZ Profile DD,TDD-11186,409694,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,06/Aug/25 8:23 PM,31/Aug/25 8:31 AM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-11022,TDD-11021,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Aug/25 9:38 AM;moalami-c;Request BZ Profile DD_(TDD-11021 , TDD-11022)_V011-1 (1).xlsx;https://jira.zatca.gov.sa/secure/attachment/470200/Request+BZ+Profile+DD_%28TDD-11021+%2C+TDD-11022%29_V011-1+%281%29.xlsx","30/Aug/25 10:14 PM;moalami-c;Request BZ Profile DD_(TDD-11021 , TDD-11022)_V011-1 (2).xlsx;https://jira.zatca.gov.sa/secure/attachment/470702/Request+BZ+Profile+DD_%28TDD-11021+%2C+TDD-11022%29_V011-1+%282%29.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1u3y7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register as Operator DD,TDD-11201,410209,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,06/Aug/25 8:32 PM,27/Aug/25 1:13 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-10985,TDD-10986,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Aug/25 1:13 PM;moalami-c;Register as Operator_(TDD-10985)_V01 (1).xlsx;https://jira.zatca.gov.sa/secure/attachment/469728/Register+as+Operator_%28TDD-10985%29_V01+%281%29.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1u41j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZ Tenant / FT Tenant DD,TDD-11202,410210,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,06/Aug/25 8:33 PM,27/Aug/25 12:09 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-10991,TDD-10992,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Aug/25 12:09 PM;moalami-c;Tenant_Record (TDD_10991,TDD_10992)_V02 (1).xlsx;https://jira.zatca.gov.sa/secure/attachment/469572/Tenant_Record+%28TDD_10991%2CTDD_10992%29_V02+%281%29.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1u41r:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Employee Account DD,TDD-11195,410203,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,06/Aug/25 8:32 PM,27/Aug/25 12:08 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-10989,TDD-10990,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Aug/25 12:08 PM;moalami-c;Employee Account_(TDD_10989,TDD_10990)_V01.xlsx;https://jira.zatca.gov.sa/secure/attachment/469570/Employee+Account_%28TDD_10989%2CTDD_10990%29_V01.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1u407:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Login Screen DD,TDD-11198,410206,Data Dictionary,Ready For Internal Review,TDD,TRMS DMS Design,software,hqazi-c,,,Low,,,moalami-c,moalami-c,06/Aug/25 8:32 PM,27/Aug/25 12:07 PM,14/Dec/25 4:56 PM,,,,,moalami-c,,,,,,,,,,,TDD-10982,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Aug/25 5:14 PM;moalami-c;Log in Screen_TDD10981_V01.xlsx;https://jira.zatca.gov.sa/secure/attachment/467679/Log+in+Screen_TDD10981_V01.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الأنظمة التقنية والرقمنة (ASSET-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aalmawash,alfaqeeram,melwahsh-c,saaltheyab.c,sghunaim,srumaih,sysadmin,zalmujaybil,alfaqeeram,melwahsh-c,sghunaim,sysadmin,zalmujaybil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i1u40v:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
